URL,Fake News,Opinions,Subjective,Reported information,Sources Cited,False Information,Insinuation,Exaggeration,Offbeat Title
https://lalettrepatriote.com/deja-marie-en-algerie-il-epouse-une-francaise/,0,1,0,0,1,0,1,0,0
https://lalettrepatriote.com/emmanuel-macron-et-giorgia-meloni-appellent-a-soutenir-la-tunisie-pour-contenir-la-pression-migratoire/,0,0,0,0,1,0,0,0,0
https://lalettrepatriote.com/le-pakistan-menace-dinterdire-wikipedia/,0,0,0,0,1,0,0,0,0
https://lalettrepatriote.com/un-couple-loge-une-famille-de-migrants-36-000-e-de-degats/,1,0,0,1,1,0,1,1,0
https://lalettrepatriote.com/ursula-von-der-leyen-non-elue-et-intouchable/,1,1,1,0,0,1,1,1,0
https://lemediaen442.fr/bilar-nous-approchons-bien-de-lechec-et-mat-si-rien-ne-vient-les-en-empecher/,1,1,1,1,0,1,1,1,0
https://lemediaen442.fr/david-pujadas-avant-60-ans-vous-avez-0-de-risque-de-deces-covid-vaccine-ou-pas-vaccine/,1,1,1,0,1,1,1,1,0
https://lemediaen442.fr/italie-reouvrir-a-partir-du-26-avril-est-pour-mario-draghi-un-risque-raisonnable/,0,1,0,0,1,0,0,0,0
https://lemediaen442.fr/loi-climat-le-gouvernement-va-faire-en-sorte-dexempter-amazon-et-le-e-commerce-des-fortes-contraintes-de-la-future-loi/,0,1,1,0,0,0,1,1,0
https://lemediaen442.fr/marie-estelle-dupont-psychologue-faire-peur-est-larme-des-gens-qui-ont-peur/,1,1,1,0,0,1,1,1,0
https://lemediaen442.fr/precarite-des-jeunes-martine-wonner-face-a-isabelle-borne/,0,1,1,1,1,0,1,1,0
https://lemediaen442.fr/propagande-mauricette-revient-jouer-la-piece-on-vaccine-mamie-mais-les-francais-desapprouvent/,1,1,1,0,0,0,1,1,1
https://lemediaen442.fr/twitter-ne-vous-bannira-plus-pour-avoir-appeler-les-transgenres-par-leur-ancien-nom-ou-leur-ancien-sexe/,1,1,1,0,1,0,1,1,0
https://lesakerfrancophone.fr/la-relation-entre-la-technologie-et-la-religion,0,1,1,0,1,0,0,0,0
https://lesakerfrancophone.fr/quelques-remarques-sur-lukraine-et-les-medias,1,1,1,0,1,0,1,1,0
https://lesakerfrancophone.fr/quo-vadis-m-johnson,1,1,1,0,1,1,1,1,0
https://lesakerfrancophone.fr/selon-ubs-les-proprietes-dassurance-tant-de-fois-eprouvees-brillent-plus-que-jamais,0,1,1,0,1,0,0,0,0
https://lesalonbeige.fr/ces-injections-ont-ete-faites-pour-blesser-les-gens-les-mutiler-et-les-tuer-deliberement/,1,1,1,1,1,1,1,1,0
https://lesalonbeige.fr/lavortement-medicalement-assiste-ne-sauve-pas-la-vie-des-femmes/,1,1,1,0,1,0,1,0,0
https://lesalonbeige.fr/le-programme-dun-nouvel-ordre-mondial-presuppose-une-economisation-totale-de-lhomme/,1,1,1,1,1,1,1,1,0
https://lesalonbeige.fr/le-sinn-fein-en-tete-en-irlande-du-nord/,0,0,0,0,1,0,0,0,0
https://lesalonbeige.fr/sacre-de-charles-iii-par-sar-le-prince-charles-emmanuel-de-bourbon-parme/,0,1,1,0,0,0,0,0,0
https://lesdeqodeurs.fr/70-000-personnes-manifestent-a-prague-contre-le-gouvernement-tcheque-lue-et-lotan/,0,0,0,0,1,0,0,0,0
https://lesdeqodeurs.fr/les-affaires-benghazi/,1,1,1,0,1,1,1,1,0
https://lesdeqodeurs.fr/louverture-des-sceaux-de-lapocalypse/,0,1,1,0,1,0,0,1,0
https://lesdeqodeurs.fr/six-usines-britanniques-sur-dix-risquent-de-faire-faillite-en-raison-de-la-flambee-des-factures/,0,0,0,1,1,0,0,0,0
https://lesdeqodeurs.fr/tous-complotistes-en-2022/,1,1,1,0,1,1,1,1,1
https://lesobservateurs.ch/2022/07/31/soyez-vous-meme-une-fallaci/,0,1,1,0,1,0,0,0,0
https://lesobservateurs.ch/2022/09/21/les-vert-e-s-sont-decus-du-contre-projet-de-simonetta-a-linitiative-sur-les-glaciers-pas-assez-ambitieux-trop-frileux-pas-assez-aligne-sur-lue/,0,1,0,1,1,0,0,0,0
https://lesobservateurs.ch/2022/09/24/conflit-dinteret-bill-gates-recompense-officiellement-ursula-von-der-leyen-pour-son-soutien-financier/,0,1,1,0,1,0,1,1,0
https://lezarceleurs.blogspot.com/2021/02/le-dispositif-anti-covid-nest-pas-un.html,1,1,1,0,1,1,1,1,0
https://lezarceleurs.blogspot.com/2021/05/surveiller-tout-le-monde-ne-proteger.html,0,1,1,0,0,0,1,1,0
https://lezarceleurs.blogspot.com/2021/12/emmanuel-olivier-tiens-bon-on-les-aura.html,1,1,1,0,1,1,1,1,1
https://lezarceleurs.blogspot.com/2022/05/france-distribution-de-cheques.html,0,1,0,0,1,0,1,0,0
https://lezarceleurs.blogspot.com/2022/05/mortalite-du-betail-et-antenne-relais.html,1,1,0,0,1,0,0,0,0
https://reseauinternational.net/beyrouth-jusqua-300-000-personnes-sans-domicile-apres-les-explosions-la-moitie-de-la-ville-touchee/,0,0,0,0,1,0,0,0,0
https://reseauinternational.net/la-chine-le-premier-marche-mondial-de-smartphones/,0,1,0,0,0,0,0,0,0
https://reseauinternational.net/les-brics-et-le-bouleversement-mondial/,0,1,1,0,1,0,0,1,0
https://reseauinternational.net/les-projets-de-demantelement-de-la-russie/,1,1,1,1,1,0,1,1,0
https://reseauinternational.net/lisez-ce-texte-si-vous-etes-europeen-il-va-vous-faire-mal-vous-allez-souffrir-mais-il-faut-le-lire/,1,1,1,0,0,1,1,1,0
https://reseauinternational.net/voir-les-corrompus-bien-en-face/,1,1,1,0,1,1,1,1,0
https://ripostelaique.com/honte-a-la-societe-francaise-qui-a-permis-la-suspension-des-soignants.html,1,1,1,0,1,1,1,1,0
https://ripostelaique.com/les-faux-culs-par-ailleurs-va-t-en-guerre-ca-suffit.html,1,1,1,0,1,0,1,1,0
https://ripostelaique.com/lola-assassinee-la-reponse-des-juges-8-mois-de-taule-pour-thais.html,1,1,1,0,1,0,1,1,1
https://ripostelaique.com/piotr-tolstoi-si-la-france-ne-parle-pas-allemand-cest-grace-a-nous.html,1,1,1,1,0,1,1,1,0
https://ripostelaique.com/un-president-en-panne-didees-peut-il-encore-diriger-le-pays.html,0,1,1,0,0,0,1,1,0
https://www.breizh-info.com/2017/11/10/81481/qi-augmente-education-etude-debat/,0,1,0,0,1,0,0,0,0
https://www.breizh-info.com/2021/01/27/157958/confinement-les-habitants-de-brest-morlaix-et-carhaix-invites-a-repondre-a-une-etude-sur-leur-consommation-dalcool/,0,0,0,0,1,0,0,0,0
https://www.breizh-info.com/2021/07/08/167263/vannes-apres-quimper-la-ville-devient-elle-aussi-une-zone-de-liberte-lgbt/,0,1,1,0,1,0,1,1,0
https://www.breizh-info.com/2021/10/18/172821/soutien-a-la-maternite-de-guingamp-un-rassemblement-le-23-octobre/,0,1,1,0,0,0,0,0,0
https://www.bvoltaire.fr/audiovisuel-public-la-grande-entourloupe-la-redevance-part-la-depense-reste/,0,1,1,0,1,0,1,1,0
https://www.bvoltaire.fr/entretien-exclusif-helen-joyce-aujourdhui-on-demande-aux-enseignants-dapprendre-aux-enfants-ce-que-signifie-etre-un-garcon-ou-une-fille-en-les-faisant-se-questionner-sur-leur-i/,1,1,1,1,0,0,1,1,0
https://www.bvoltaire.fr/la-grece-ne-veut-plus-etre-le-mouton-noir-de-leurope/,0,1,1,0,1,0,1,1,0
https://www.bvoltaire.fr/la-guerre-en-ukraine-accelerera-t-elle-la-chute-de-lempire-americain/,0,1,1,0,1,0,0,0,0
https://www.bvoltaire.fr/qui-va-emporter-le-debat-du-second-tour/,0,1,1,0,1,0,0,0,0
https://www.bvoltaire.fr/tribune-en-pleine-affaire-ocean-vicking-le-passeur-cedric-herrou-va-rencontrer-des-lyceens/,0,1,1,0,1,0,1,1,0
https://www.bvoltaire.fr/vaccin-anti-covid-que-penser-des-troubles-menstruels/,0,1,1,0,1,0,0,0,0
https://www.dreuz.info/2019/04/israel-bombarde-des-cibles-iraniennes-et-du-hezbollah-en-syrie-188960.html,0,0,0,0,1,0,0,0,0
https://www.dreuz.info/2020/12/joe-biden-nomme-des-cretins-dans-son-eventuel-cabinet-232133.html,1,1,1,1,1,0,1,1,0
https://www.dreuz.info/2021/04/rudolph-giuliani-a-autorise-la-publication-de-la-declaration-suivante-concernant-le-raid-du-fbi-chez-lui-le-28-avril-242948.html,1,1,1,0,1,0,1,1,0
https://www.dreuz.info/2021/08/suisse-une-rentree-politique-sous-le-signe-du-viol-249468.html,0,1,0,0,1,0,0,0,0
https://www.dreuz.info/2021/10/la-misere-energetique-pour-punir-les-consommateurs-253129.html,0,1,1,1,1,0,1,1,0
https://www.dreuz.info/2022/02/grand-remplacement-francais-de-papier-pecresse-manque-didees-et-pioche-dans-les-idees-de-lextreme-droite-259484.html,0,1,1,0,1,0,1,1,0
https://www.francesoir.fr/actualites-france/retraites-la-cfdt-cheminots-appelle-la-greve-reconductible-faute-dengagements-du,0,0,0,1,1,0,0,0,0
https://www.francesoir.fr/culture-celebrites/miss-univers-hommage-sexy-eva-colas-aux-bleus-champions-du-monde-photo,0,0,0,0,1,0,0,0,0
https://www.francesoir.fr/culture-cinema/tully-charlize-theron-super-maman-critique,0,1,0,0,1,0,0,0,0
https://www.francesoir.fr/lifestyle-tourisme/affluence-en-baisse-au-carnaval-de-nice-sept-mois-apres-un-attentat-tres,0,1,0,0,1,0,0,0,0
https://www.francesoir.fr/opinions-societe/sante-vaccin-malaise-chez-les-soignants-francais,1,1,1,0,1,1,1,1,0
https://www.francesoir.fr/opinions-tribunes/covid-19-spike-arn-et-vaccins-et-si-lancait-les-etudes-prealables,1,1,1,0,1,0,0,1,0
https://www.francesoir.fr/politique-france/24-juillet-nouvelles-manifestations-contre-le-passe-sanitaire,0,1,1,0,1,0,1,1,0
https://www.francesoir.fr/politique-france/bac-2019-appel-poursuivre-la-greve-jusquau-brevet,0,0,0,0,1,0,0,0,0
https://www.francesoir.fr/politique-france/le-comite-scientifique-se-detache-t-il-du-gouvernement-les-derniers-messages-le,0,1,1,0,1,0,1,1,0
https://www.francesoir.fr/societe-transport/info-trafic-greve-sncf-les-lignes-du-transilien-tres-perturbees-vendredi-13,0,0,0,0,1,0,0,0,0
https://www.francesoir.fr/videos-le-defi-de-la-verite/ne-peut-plus-accepter-ces-mensonges-detat-christian-perronne,1,1,1,1,1,1,1,1,0
https://www.lelibrepenseur.org/covid-19-un-medecin-de-touraine-refuse-le-vaccin-aux-adolescents/,1,1,1,0,0,0,1,0,0
https://www.lelibrepenseur.org/electricite-lespagne-et-le-portugal-decrochent-du-systeme-europeen/,0,1,1,0,1,0,0,1,0
https://www.lelibrepenseur.org/explosif-pour-linstitut-superieur-de-la-sante-italien-le-covid-19-a-tue-moins-que-la-grippe/,1,1,1,0,1,1,1,1,0
https://www.lelibrepenseur.org/fin-du-conflit-a-laeroport-felix-eboue-pas-de-pass-sanitaire-exige-pour-les-salaries/,0,0,0,0,1,0,0,0,0
https://www.lelibrepenseur.org/point-de-situation-au-06-12-21-au-centre-hospitalier-de-haguenau-sur-8-patients-en-reanimation-7-sont-vaccines/,1,1,1,0,1,1,1,1,0
https://www.lelibrepenseur.org/tous-au-diner-des-traitres/,1,1,1,0,1,0,1,1,1
